question,answer,cleaned_question,cleaned_answer
i know. i really want to go to the beach.,but you know that california weather is really unpredictable.,know want beach,know california weather unpredictable
but you know that california weather is really unpredictable.,"you're right. one minute it's hot, and then the next minute it's cold.",know california weather unpredictable,right minute hot minute cold
"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.,right minute hot minute cold,wish weather stay
i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.,wish weather stay,way activity plan ahead time
i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier.",way activity plan ahead time,yeah thing lot easy
i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?,like trip beach weekend,trip beach fun weather go
a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.,trip beach fun weather go,forecast say warm weekend
the forecast says that it will be warm on the weekend.,so do you think it'll be perfect weather for the beach?,forecast say warm weekend,think perfect weather beach
so do you think it'll be perfect weather for the beach?,it sounds like it will be.,think perfect weather beach,sound like
it sounds like it will be.,i really hope it doesn't get cold.,sound like,hope cold
i really hope it doesn't get cold.,"that would ruin things, i want to go so badly.",hope cold,ruin thing want badly
"that would ruin things, i want to go so badly.","the weather in california is unpredictable, so you never know.",ruin thing want badly,weather california unpredictable know
"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.,weather california unpredictable know,true weather constantly change
that is true. the weather is constantly changing.,it would be nice if the weather would never change.,true weather constantly change,nice weather change
it would be nice if the weather would never change.,"that would be great, then we could plan things sooner.",nice weather change,great plan thing soon
"that would be great, then we could plan things sooner.",true. predictable weather would make life easier.,great plan thing soon,true predictable weather life easy
it would be nice to go to the beach sometime this weekend.,what's the weather going to be like? i may want to go too.,nice beach weekend,weather go like want
what's the weather going to be like? i may want to go too.,the weather this weekend is supposed to be warm.,weather go like want,weather weekend suppose warm
the weather this weekend is supposed to be warm.,will it be good beach weather?,weather weekend suppose warm,good beach weather
will it be good beach weather?,i think it will be.,good beach weather,think
i think it will be.,it wouldn't be good if it got cold this weekend.,think,good get cold weekend
it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm.",good get cold weekend,want trip perfect hope stay warm
"i want this trip to be perfect, i hope it stays warm.","this california weather is so uncertain, it's impossible to know what'll happen.",want trip perfect hope stay warm,california weather uncertain impossible know happen
"this california weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.,california weather uncertain impossible know happen,know day weather different
i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.,know day weather different,love unpredictable
i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.,love unpredictable,easy plan
"hello, may i speak to alice please?",this is she. how's it going?,hello speak alice,go
this is she. how's it going?,i've been trying to call you all day.,go,try day
i've been trying to call you all day.,sorry about that. i was cleaning up.,try day,sorry clean
sorry about that. i was cleaning up.,it's okay.,sorry clean,okay
it's okay.,so what were you calling me about?,okay,call
so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow.",call,oh want want hang tomorrow
"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?",oh want want hang tomorrow,sure want
"sure, what did you want to do?",maybe we can go see a movie or something.,sure want,maybe movie
maybe we can go see a movie or something.,that sounds like fun. let's do it.,maybe movie,sound like fun let
that sounds like fun. let's do it.,i'll see you tomorrow then.,sound like fun let,tomorrow
i'll see you tomorrow then.,see you then. goodbye.,tomorrow,goodbye
"hi, how are you. is alice there?",speaking. what's up?,hi alice,speak
speaking. what's up?,why haven't you answered the phone?,speak,answer phone
why haven't you answered the phone?,"my bad, i had chores to do.",answer phone,bad chore
"my bad, i had chores to do.",that's all right.,bad chore,right
that's all right.,what was the reason for your call?,right,reason
what was the reason for your call?,i want to do something tomorrow with you.,reason,want tomorrow
i want to do something tomorrow with you.,sounds good. what did you have in mind?,want tomorrow,sound good mind
sounds good. what did you have in mind?,i was thinking about seeing a movie.,sound good mind,think see movie
i was thinking about seeing a movie.,"okay, let's go see a movie.",think see movie,okay let movie
"okay, let's go see a movie.",until then.,okay let movie,
until then.,talk to you later.,,talk later
is alice available?,you're talking to her.,alice available,talk
you're talking to her.,i've called you a hundred times today.,talk,call time today
i've called you a hundred times today.,i was busy doing something. i apologize.,call time today,busy apologize
i was busy doing something. i apologize.,no problem.,busy apologize,problem
no problem.,did you need something?,problem,need
did you need something?,do you want to do something tomorrow?,need,want tomorrow
do you want to do something tomorrow?,is there somewhere special you wanted to go?,want tomorrow,special want
is there somewhere special you wanted to go?,how about a movie?,special want,movie
how about a movie?,a movie sounds good.,movie,movie sound good
a movie sounds good.,call me tomorrow then.,movie sound good,tomorrow
have you seen the new girl in school?,"no, i haven't.",see new girl school,
"no, i haven't.",she's really pretty.,,pretty
she's really pretty.,describe her to me.,pretty,describe
describe her to me.,she's not too tall.,describe,tall
she's not too tall.,"well, how tall is she?",tall,tall
"well, how tall is she?",she's about five feet even.,tall,foot
she's about five feet even.,"what does she look like, though?",foot,look like
"what does she look like, though?",she has pretty light brown eyes.,look like,pretty light brown eye
she has pretty light brown eyes.,i may know which girl you're talking about.,pretty light brown eye,know girl talk
i may know which girl you're talking about.,so you have seen her around?,know girl talk,see
so you have seen her around?,"yes, i have.",see,yes
"there's a new girl in school, have you seen her yet?",i haven't seen her yet.,new girl school see,see
i haven't seen her yet.,i think that she is very pretty.,see,think pretty
i think that she is very pretty.,tell me how she looks.,think pretty,tell look
tell me how she looks.,she's kind of short.,tell look,kind short
she's kind of short.,what height is she?,kind short,height
what height is she?,she's probably about five feet.,height,probably foot
she's probably about five feet.,"that's nice, but tell me what she looks like.",probably foot,nice tell look like
"that's nice, but tell me what she looks like.",the first thing i noticed was her beautiful brown eyes.,nice tell look like,thing notice beautiful brown eye
the first thing i noticed was her beautiful brown eyes.,i think i might've bumped into her before.,thing notice beautiful brown eye,think bump
i think i might've bumped into her before.,are you telling me that you've seen her before?,think bump,tell see
are you telling me that you've seen her before?,i believe so.,tell see,believe
have you met the new girl?,no. have you?,meet new girl,
no. have you?,she's one of the prettiest girls at the school.,,prettiest girl school
she's one of the prettiest girls at the school.,what does she look like?,prettiest girl school,look like
what does she look like?,"well, she's quite short.",look like,short
"well, she's quite short.",how tall would you say that she is?,short,tall
how tall would you say that she is?,i would say she's only five feet.,tall,foot
i would say she's only five feet.,what about her facial features?,foot,facial feature
what about her facial features?,"she has light brown eyes, absolutely beautiful.",facial feature,light brown eye absolutely beautiful
"she has light brown eyes, absolutely beautiful.",i think i know who you're talking about.,light brown eye absolutely beautiful,think know talk
i think i know who you're talking about.,have you seen her?,think know talk,see
why weren't you at school yesterday?,i wasn't really feeling well.,school yesterday,feel
i wasn't really feeling well.,what was wrong with you?,feel,wrong
what was wrong with you?,my stomach was upset.,wrong,stomach upset
my stomach was upset.,do you feel better now?,stomach upset,feel well
do you feel better now?,i don't really feel too well yet.,feel well,feel
i don't really feel too well yet.,do you want anything to make you feel better?,feel,want feel well
do you want anything to make you feel better?,"no, thanks. i already took some medicine.",want feel well,thank take medicine
"no, thanks. i already took some medicine.",i hope you feel better.,thank take medicine,hope feel well
i hope you feel better.,thank you.,hope feel well,thank
what reason do you have for missing school?,i was sick.,reason miss school,sick
i was sick.,how were you sick?,sick,sick
how were you sick?,i had a stomachache.,sick,stomachache
i had a stomachache.,did it get any better?,stomachache,well
did it get any better?,i'm still feeling under the weather.,well,feel weather
i'm still feeling under the weather.,would you like anything for your stomach?,feel weather,like stomach
would you like anything for your stomach?,i took something earlier.,like stomach,take early
i took something earlier.,get better.,take early,well
get better.,thanks a lot.,well,thank lot
why didn't you go to school yesterday?,i stayed home because i wasn't feeling well.,school yesterday,stay home feel
i stayed home because i wasn't feeling well.,what was your problem?,stay home feel,problem
what was your problem?,my stomach was bothering me.,problem,stomach bother
my stomach was bothering me.,are you feeling any better?,stomach bother,feel well
are you feeling any better?,i'm still feeling a little sick.,feel well,feel little sick
i'm still feeling a little sick.,"i'm going to the store, would you like any pepto bismol?",feel little sick,go store like pepto bismol
"i'm going to the store, would you like any pepto bismol?",that's okay.,go store like pepto bismol,okay
that's okay.,i hope you feel better.,okay,hope feel well
did you hear the good news?,"no, i haven't.",hear good news,
"no, i haven't.",i got a promotion at my job.,,get promotion job
i got a promotion at my job.,did you really?,get promotion job,
did you really?,"seriously, i am so excited.",,seriously excited
"seriously, i am so excited.","well, congratulations.",seriously excited,congratulation
"well, congratulations.",thank you.,congratulation,thank
thank you.,i'm so happy for you.,thank,happy
i'm so happy for you.,really?,happy,
really?,yes. you really deserved this.,,yes deserve
yes. you really deserved this.,you think so?,yes deserve,think
you think so?,yes. good for you.,think,yes good
have you heard my good news?,you haven't told me anything yet.,hear good news,tell
you haven't told me anything yet.,i got a promotion at work earlier this week.,tell,get promotion work early week
i got a promotion at work earlier this week.,is that right?,get promotion work early week,right
is that right?,it's the truth. i am really happy.,right,truth happy
it's the truth. i am really happy.,congratulations on your promotion.,truth happy,congratulation promotion
congratulations on your promotion.,thank you very much.,congratulation promotion,thank
thank you very much.,i am really excited for you.,thank,excited
i am really excited for you.,are you really?,excited,
are you really?,i'm serious. you deserved this promotion.,,deserve promotion
i'm serious. you deserved this promotion.,is that what you really think?,deserve promotion,think
is that what you really think?,"yes, i do.",think,yes
"i haven't told you what happened yet, have i?",i haven't heard anything.,tell happen,hear
i haven't heard anything.,"my boss offered me a promotion, and i took it.",hear,boss offer promotion take
"my boss offered me a promotion, and i took it.",are you serious?,boss offer promotion take,
are you serious?,"yes, i am really excited.",,yes excited
"yes, i am really excited.",that's great. congratulations.,yes excited,great congratulation
that's great. congratulations.,i appreciate that.,great congratulation,appreciate
i appreciate that.,you have no idea how happy i am for you.,appreciate,idea happy
you have no idea how happy i am for you.,for real?,idea happy,real
you look really nice today. ,thank you. i just got this outfit the other day.,look nice today,thank get outfit day
thank you. i just got this outfit the other day.,"really, where did you get it?",thank get outfit day,
"really, where did you get it?",i got it from macy's.,,get macy
i got it from macy's.,it's really nice.,get macy,nice
it's really nice.,"thanks again. you look nice today, too.",nice,thank look nice today
"thanks again. you look nice today, too.",thank you. i just got these shoes today.,thank look nice today,thank get shoe today
thank you. i just got these shoes today.,really? what kind of shoes are they?,thank get shoe today,kind shoe
really? what kind of shoes are they?,these are called all star chuck taylors.,kind shoe,call star chuck taylor
these are called all star chuck taylors.,i really like those. how much did they cost?,call star chuck taylor,like cost
i really like those. how much did they cost?,they were about forty dollars.,like cost,dollar
they were about forty dollars.,i think i'm going to go buy myself a pair.,dollar,think go buy pair
i absolutely love what you're wearing today.,you do? i just bought this outfit a couple days ago.,absolutely love wear today,buy outfit couple day ago
you do? i just bought this outfit a couple days ago.,"seriously, it looks really nice on you. where did you buy it from?",buy outfit couple day ago,seriously look nice buy
"seriously, it looks really nice on you. where did you buy it from?",i bought it from the macy's at the santa anita mall.,seriously look nice buy,buy macy santa anita mall
i bought it from the macy's at the santa anita mall.,i really like that outfit.,buy macy santa anita mall,like outfit
i really like that outfit.,"thanks. i think you look nice today, too.",like outfit,thanks think look nice today
"thanks. i think you look nice today, too.",thank you. i just bought these new shoes earlier today.,thanks think look nice today,thank buy new shoe early today
thank you. i just bought these new shoes earlier today.,those are nice. what are they?,thank buy new shoe early today,nice
those are nice. what are they?,these are some chucks.,nice,chuck
these are some chucks.,those are great. how much were they?,chuck,great
those are great. how much were they?,i got them for forty.,great,get
i got them for forty.,i think i might go and find me my own pair of chucks.,get,think find pair chuck
i think that you look very cute today.,is that right? this is a brand new outfit.,think look cute today,right brand new outfit
is that right? this is a brand new outfit.,what store did you get it from?,right brand new outfit,store
what store did you get it from?,i went to macy's and picked it out.,store,go macy pick
i went to macy's and picked it out.,i love your outfit right now.,go macy pick,love outfit right
i love your outfit right now.,"well, i think you look nice today too.",love outfit right,think look nice today
"well, i think you look nice today too.",thanks. i found these new shoes earlier at the store.,think look nice today,thanks find new shoe early store
thanks. i found these new shoes earlier at the store.,i think that those are some really nice shoes. what kind are they?,thanks find new shoe early store,think nice shoe kind
i think that those are some really nice shoes. what kind are they?,these are chucks.,think nice shoe kind,chuck
these are chucks.,your shoes look really nice. how much did you get them for?,chuck,shoe look nice
your shoes look really nice. how much did you get them for?,they only cost me about forty dollars.,shoe look nice,cost dollar
"tell me, what do you enjoy doing in your spare time?",i enjoy drawing and painting.,tell enjoy spare time,enjoy draw painting
i enjoy drawing and painting.,you know how to draw and paint?,enjoy draw painting,know draw paint
you know how to draw and paint?,"yes, i do.",know draw paint,yes
"yes, i do.",when did you learn how to do that?,yes,learn
when did you learn how to do that?,i learned back in high school.,learn,learn high school
i learned back in high school.,"oh, so you took an art class?",learn high school,oh take art class
"oh, so you took an art class?","yeah, i loved that class.",oh take art class,yeah love class
"yeah, i loved that class.",i see that you're pretty talented.,yeah love class,pretty talented
i see that you're pretty talented.,thank you very much.,pretty talented,thank
thank you very much.,i wish i had a talent like that.,thank,wish talent like
i wish i had a talent like that.,i'm sure you have a talent. it's just hidden.,wish talent like,sure talent hide
what kinds of things do you like to do?,i've always liked to draw and paint.,kind thing like,like draw paint
i've always liked to draw and paint.,i didn't know you knew how to draw and paint.,like draw paint,know know draw paint
i didn't know you knew how to draw and paint.,i do it every once in a while.,know know draw paint,
i do it every once in a while.,how long have you known how to do that?,,long know
how long have you known how to do that?,i first learned how to do it in high school.,long know,learn high school
i first learned how to do it in high school.,did you take some sort of art class or something?,learn high school,sort art class
did you take some sort of art class or something?,that was my favorite class.,sort art class,favorite class
that was my favorite class.,you have got to be talented.,favorite class,get talente
you have got to be talented.,thanks.,get talente,thank
thanks.,if only i was talented.,thank,talente
if only i was talented.,you have a talent. you just don't know what it is yet.,talente,talent know
are there any hobbies you do?,"when i have time, i sometimes draw and paint.",hobby,time draw paint
"when i have time, i sometimes draw and paint.","oh, you actually do that?",time draw paint,oh actually
"oh, you actually do that?","every so often, i do.",oh actually,
"every so often, i do.",did you always know how to draw and paint?,,know draw paint
did you always know how to draw and paint?,i was taught in high school how to draw and paint.,know draw paint,teach high school draw paint
i was taught in high school how to draw and paint.,you had an art class?,teach high school draw paint,art class
you had an art class?,"exactly, it was my favorite class.",art class,exactly favorite class
"exactly, it was my favorite class.","well, it's good that you're so talented.",exactly favorite class,good talented
"well, it's good that you're so talented.",i appreciate that.,good talented,appreciate
i appreciate that.,"talent is a great thing, i wish i had one.",appreciate,talent great thing wish
what's your favorite movie?,my favorite movie is superbad.,favorite movie,favorite movie superbad
my favorite movie is superbad.,"oh, why is that?",favorite movie superbad,oh
"oh, why is that?",it's the funniest movie that i've ever seen.,oh,funniest movie see
it's the funniest movie that i've ever seen.,that's true. it is a very funny movie.,funniest movie see,true funny movie
that's true. it is a very funny movie.,you've seen it before? ,true funny movie,see
you've seen it before? ,"yes, i saw that movie the first day it came out in theaters.",see,yes see movie day come theater
"yes, i saw that movie the first day it came out in theaters.",didn't you laugh through the whole movie? i did.,yes see movie day come theater,laugh movie
didn't you laugh through the whole movie? i did.,me too. that movie brought tears to my eyes.,laugh movie,movie bring tear eye
me too. that movie brought tears to my eyes.,mine too.,movie bring tear eye,
mine too.,i have it on dvd at my house if you want to come over and watch it.,,dvd house want come watch
i have it on dvd at my house if you want to come over and watch it.,"sure, let's go.",dvd house want come watch,sure let
which movie is your favorite to watch?,"i have to say, my favorite movie is superbad.",movie favorite watch,favorite movie superbad
"i have to say, my favorite movie is superbad.",is that right? why?,favorite movie superbad,right
is that right? why?,"honestly, it is one of the funniest movies i've seen in a long time.",right,honestly funniest movie see long time
"honestly, it is one of the funniest movies i've seen in a long time.",you're right. that movie is hilarious.,honestly funniest movie see long time,right movie hilarious
you're right. that movie is hilarious.,i didn't think you saw that movie.,right movie hilarious,think see movie
i didn't think you saw that movie.,i went to see it the day it came out.,think see movie,go day come
i went to see it the day it came out.,i was laughing through the whole movie.,go day come,laugh movie
i was laughing through the whole movie.,"i couldn't help laughing, either. ",laugh movie,help laugh
"i couldn't help laughing, either. ",same here.,help laugh,
same here.,i bought the movie. would you like to come to my house and watch it?,,buy movie like come house watch
i bought the movie. would you like to come to my house and watch it?,of course.,buy movie like come house watch,course
"out of every movie that you've seen, which one is your favorite?",i'm going to have to say that superbad is the best movie ever.,movie see favorite,go superbad good movie
i'm going to have to say that superbad is the best movie ever.,"you think so, how come?",go superbad good movie,think come
"you think so, how come?","well, superbad is super funny.",think come,superbad super funny
"well, superbad is super funny.","you're not lying, i found that movie absolutely hilarious.",superbad super funny,lie find movie absolutely hilarious
"you're not lying, i found that movie absolutely hilarious.",i didn't know that you saw superbad before.,lie find movie absolutely hilarious,know see superbad
i didn't know that you saw superbad before.,i made sure to be in line to see it the first day it came out.,know see superbad,sure line day come
i made sure to be in line to see it the first day it came out.,i couldn't keep from laughing throughout the whole movie.,sure line day come,laugh movie
i couldn't keep from laughing throughout the whole movie.,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,laugh movie,laugh hysterically time stomach muscle hurt
i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,that's exactly how i felt.,laugh hysterically time stomach muscle hurt,exactly feel
that's exactly how i felt.,"i got the movie when it came out on dvd, do you want to come over?",exactly feel,get movie come dvd want come
what type of music do you like to listen to?,i like listening to different kinds of music.,type music like listen,like listen different kind music
i like listening to different kinds of music.,"like what, for instance?",like listen different kind music,like instance
"like what, for instance?",i enjoy rock and r&b.,like instance,enjoy rock
i enjoy rock and r&b.,why is that?,enjoy rock,
why is that?,i like the different instruments that they use.,,like different instrument use
i like the different instruments that they use.,that's a good reason to like something.,like different instrument use,good reason like
that's a good reason to like something.,"yeah, i think so too.",good reason like,yeah think
what kind of music do you enjoy listening to?,i enjoy listening to all kinds of music.,kind music enjoy listen,enjoy listen kind music
i enjoy listening to all kinds of music.,what kind?,enjoy listen kind music,kind
what kind?,i like to listen to rock and r&b.,kind,like listen rock
i like to listen to rock and r&b.,why do you like that type of music?,like listen rock,like type music
why do you like that type of music?,i like the kinds of instruments that they use.,like type music,like kind instrument use
i like the kinds of instruments that they use.,i think that's an excellent reason to like something.,like kind instrument use,think excellent reason like
i think that's an excellent reason to like something.,"thanks, i feel the same way.",think excellent reason like,thank feel way
what is your favorite kind of music?,i listen to various types of music.,favorite kind music,listen type music
i listen to various types of music.,what genres?,listen type music,genre
what genres?,i enjoy listening to both rock and r&b.,genre,enjoy listen rock
i enjoy listening to both rock and r&b.,what interests you in that type of music?,enjoy listen rock,interest type music
what interests you in that type of music?,i enjoy the different types of instruments that they use.,interest type music,enjoy different type instrument use
i enjoy the different types of instruments that they use.,that is a perfect reason to like a certain kind of music.,enjoy different type instrument use,perfect reason like certain kind music
did you go to the basketball game on friday?,"no, i couldn't make it.",basketball game friday,
"no, i couldn't make it.",you missed a really good game.,,miss good game
you missed a really good game.,"oh, really? who won?",miss good game,oh win
"oh, really? who won?",our school did. they played really well.,oh win,school play
our school did. they played really well.,too bad i was busy. i really wanted to go.,school play,bad busy want
too bad i was busy. i really wanted to go.,"yeah, you should have. it was really exciting.",bad busy want,yeah exciting
"yeah, you should have. it was really exciting.",so what was the score?,yeah exciting,score
so what was the score?,the score was 101-98.,score,score
the score was 101-98.,"man, that was a really close game.",score,man close game
"man, that was a really close game.",that's what made it so great.,man close game,great
that's what made it so great.,i'll make sure and make it to the next one.,great,sure
were you able to attend friday night's basketball game?,i was unable to make it.,able attend friday night basketball game,unable
i was unable to make it.,you should have been there. it was intense.,unable,intense
you should have been there. it was intense.,is that right. who ended up winning?,intense,right end win
is that right. who ended up winning?,our team was victorious.,right end win,team victorious
our team was victorious.,i wish i was free that night. i'm kind of mad that i didn't go.,team victorious,wish free night kind mad
i wish i was free that night. i'm kind of mad that i didn't go.,it was a great game.,wish free night kind mad,great game
it was a great game.,what was the score at the end of the game?,great game,score end game
what was the score at the end of the game?,our team won 101-98.,score end game,team win
our team won 101-98.,sounds like it was a close game.,team win,sound like close game
sounds like it was a close game.,that's the reason it was such a great game.,sound like close game,reason great game
that's the reason it was such a great game.,"the next game, i will definitely be there.",reason great game,game definitely
i was meaning to ask you if you saw the basketball game on friday.,"i wanted to go, but i couldn't.",mean ask see basketball game friday,want
"i wanted to go, but i couldn't.",it was a great game.,want,great game
it was a great game.,it's too bad that i couldn't make it. who won?,great game,bad win
